Sample,meanrr,sdnn,meanhr,sdhr,rmssd,nn50,pnn50,sdann,sdnni,hrvtri,tinn,vlfpeakfft,lfpeakfft,hfpeakfft,vlfpowfft,lfpowfft,hfpowfft,vlfpowprfft,lfpowprfft,hfpowprfft,lfpownufft,hfpownufft,totpowfft,lfhffft,vlfpeakar,lfpeakar,hfpeakar,vlfpowar,lfpowar,hfpowar,vlfpowprar,lfpowprar,hfpowprar,lfpownuar,hfpownuar,totpowar,lfhfar,edr,sd1,sd2,apen,sampen,d2,dfa1,dfa2,rplmean,rplmax,rprec,rpadet,rpshen,mse-1,mse-2,mse-3,mse-4,mse-5,mse-6,mse-7,mse-8,mse-9,mse-10,mse-11,mse-12,mse-13,mse-14,mse-15,mse-16,mse-17,mse-18,mse-19,mse-20,
1,408.523539,29.912833,147.595642,9.982869,2.752152,0.000000,0.000000,,,6.264957,130.000000,0.003906,0.054688,0.312500,111.116027,3.526472,2.227928,95.073778,3.017342,1.906274,61.250632,38.696469,116.873473,1.582848,0.000000,0.042969,0.152344,597.364061,12.564849,2.705287,97.505872,2.050921,0.441576,82.229989,17.704608,612.644191,4.644553,0.370459,1.950660,42.155207,0.162994,0.140876,0.751369,1.514321,1.609006,169.535874,723.000000,57.716492,99.972235,5.157997,0.140876,0.143025,0.149941,0.172215,0.184767,0.193501,0.226274,0.253018,0.263377,0.264819,0.318665,0.323732,0.331673,0.373080,0.342650,0.410258,0.393638,0.431846,0.428999,0.405598,
2,398.508829,21.282196,150.989916,8.044226,2.415431,0.000000,0.000000,,,5.496350,85.000000,0.003906,0.050781,0.312500,196.121629,4.299180,1.811813,96.977606,2.125845,0.895899,70.336465,29.642046,202.233936,2.372861,0.000000,0.042969,0.285156,370.736621,3.035233,1.427922,98.809436,0.808956,0.380573,67.947317,31.965752,375.203659,2.125629,0.376953,1.710493,30.008890,0.292269,0.260378,0.697989,1.095868,1.465205,108.979463,743.000000,49.884380,99.930467,4.894329,0.260378,0.206201,0.215744,0.254979,0.266915,0.291507,0.326332,0.343021,0.393067,0.401634,0.434478,0.389101,0.477642,0.429149,0.544278,0.696442,0.628068,0.583088,0.769864,0.693964,
3,392.341963,20.410307,153.336780,7.877510,2.372420,0.000000,0.000000,,,5.275862,75.000000,0.003906,0.042969,0.316406,162.615267,4.634254,1.265659,96.498666,2.750045,0.751064,78.542786,21.450794,168.515559,3.661533,0.000000,0.042969,0.152344,499.222128,2.722419,1.162433,99.227103,0.541117,0.231049,70.011537,29.893888,503.110657,2.342002,0.385006,1.679312,28.805262,0.271092,0.234770,0.652749,1.075743,1.386697,114.719685,755.000000,51.012710,99.942378,5.046526,0.234770,0.187127,0.195821,0.209108,0.244442,0.253480,0.309151,0.321554,0.338058,0.365498,0.403031,0.403342,0.402501,0.415100,0.487227,0.518828,0.526540,0.660856,0.564235,0.698974,
4,387.258695,19.912425,155.332793,7.749223,2.386582,0.000000,0.000000,,,3.974359,60.000000,0.003906,0.042969,0.292969,102.818546,4.032405,0.817308,95.495401,3.745201,0.759096,83.141728,16.851576,107.668584,4.933766,0.000000,0.042969,0.152344,669.776054,2.523921,1.065830,99.466424,0.374820,0.158283,70.246822,29.664612,673.368987,2.368034,0.394464,1.689494,28.088316,0.255024,0.208564,0.585997,1.030138,1.404165,125.097179,765.000000,54.437620,99.947404,4.968828,0.208564,0.140558,0.148099,0.153845,0.172944,0.187824,0.204710,0.219841,0.248679,0.268710,0.298129,0.275484,0.313094,0.321830,0.328955,0.337760,0.326070,0.385127,0.384767,0.375985,
5,381.193789,17.910477,157.735913,7.161267,2.866851,0.000000,0.000000,,,3.712264,65.000000,0.003906,0.042969,0.152344,62.029871,2.948929,0.521985,94.700862,4.502123,0.796914,84.959533,15.038560,65.500851,5.649446,0.000000,0.042969,0.152344,642.716355,2.319935,0.751126,99.523886,0.359239,0.116311,75.452377,24.429226,645.791057,3.088611,0.400957,2.029575,25.190507,0.325376,0.260902,0.474971,0.864666,1.442721,123.717105,777.000000,55.971412,99.912629,4.741867,0.260902,0.170526,0.163431,0.184880,0.210617,0.207456,0.236925,0.232688,0.226579,0.258521,0.263968,0.260562,0.253493,0.305966,0.314940,0.297761,0.319276,0.306839,0.331573,0.338142,
6,374.773560,15.335660,160.360173,6.454319,2.806896,0.000000,0.000000,,,4.790419,55.000000,0.003906,0.062500,0.218750,41.699391,2.063923,0.361165,94.503842,4.677494,0.818512,85.104790,14.892440,44.124546,5.714630,0.000000,0.042969,0.152344,259.970593,2.114901,0.586431,98.970539,0.805141,0.223254,78.209945,21.686470,262.674726,3.606394,0.406285,1.986719,21.557853,0.379604,0.321021,0.099580,0.858276,1.444921,92.534676,790.000000,52.975558,99.832860,4.614424,0.321021,0.212444,0.227061,0.223081,0.234329,0.266852,0.291661,0.278551,0.264560,0.301206,0.301513,0.282649,0.319665,0.276963,0.317839,0.308657,0.277247,0.371649,0.362860,0.309062,
7,369.062548,14.135036,162.811685,6.217827,2.811041,0.000000,0.000000,,,3.345679,55.000000,0.003906,0.058594,0.160156,31.499352,1.607939,0.298775,94.291993,4.813297,0.894369,84.325352,15.668674,33.406180,5.381780,0.000000,0.042969,0.152344,220.174646,1.741076,0.425934,99.024390,0.783056,0.191566,80.263190,19.635464,222.343855,4.087664,0.410879,1.989586,19.847273,0.467375,0.413782,0.059093,0.771708,1.363225,84.794383,803.000000,49.609539,99.791072,4.597793,0.413782,0.236252,0.223443,0.263143,0.301370,0.304372,0.299104,0.294212,0.296518,0.319260,0.379758,0.319500,0.417949,0.337276,0.324809,0.412236,0.341098,0.327534,0.276037,0.312014,
8,364.237640,12.980980,164.937526,5.900166,2.845459,0.000000,0.000000,,,3.305221,50.000000,0.003906,0.085938,0.160156,27.639933,1.354526,0.283001,94.406188,4.626481,0.966611,82.707119,17.280012,29.277671,4.786288,0.000000,0.042969,0.152344,256.495372,1.389790,0.396640,99.307650,0.538087,0.153568,77.718914,22.180641,258.283598,3.503908,0.418486,2.013632,18.224731,0.469631,0.413584,0.033184,0.615303,1.279707,77.332338,813.000000,47.057634,99.703017,4.504568,0.413584,0.269265,0.265554,0.271351,0.283932,0.283880,0.321030,0.299597,0.351822,0.341780,0.375831,0.368169,0.406030,0.460501,0.407643,0.324568,0.362453,0.276794,0.325318,0.403620,
9,359.400730,13.637998,167.186706,6.392691,2.853294,0.000000,0.000000,,,4.113300,55.000000,0.003906,0.085938,0.175781,44.181062,1.145659,0.308080,96.813160,2.510463,0.675091,78.775916,21.183698,45.635389,3.718705,0.000000,0.042969,0.152344,265.173801,1.252021,0.352563,99.397924,0.469309,0.132155,77.948441,21.949871,266.780019,3.551203,0.431688,2.019162,19.160113,0.460805,0.407682,0.041047,0.679763,1.310657,86.710145,825.000000,49.240190,99.730320,4.513749,0.407682,0.214589,0.226989,0.245565,0.264467,0.237509,0.271616,0.285309,0.293614,0.330758,0.342231,0.277326,0.362101,0.274221,0.275488,0.250791,0.294365,0.276259,0.316919,0.303909,
10,354.663605,14.219607,169.448024,6.837427,2.849718,0.000000,0.000000,,,4.572973,55.000000,0.003906,0.085938,0.171875,65.158405,0.935234,0.378154,98.022136,1.406935,0.568883,71.134079,28.762478,66.473154,2.473155,0.000000,0.042969,0.152344,337.496814,1.107286,0.353721,99.568447,0.326672,0.104355,75.696798,24.181264,338.959605,3.130390,0.444686,2.016705,19.981204,0.454080,0.406764,0.054815,0.598494,1.437213,102.528416,836.000000,48.559956,99.696645,4.468636,0.406764,0.218509,0.208527,0.193101,0.202179,0.237556,0.225392,0.216598,0.229693,0.217897,0.272397,0.286655,0.297595,0.213121,0.238080,0.197304,0.174701,0.260703,0.236883,0.274015,
